Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Elec_5x5.4",17.000000,-27.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",11.000000,-12.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",43.000000,-14.000000,0.000000,top
"J1","PWR","PinHeader_1x02_P2.54mm_Vertical",5.000000,-17.000000,0.000000,top
"R1","1k","R_0603_1608Metric",17.000000,-17.000000,0.000000,top
"R2","47k","R_0603_1608Metric",17.000000,-10.000000,0.000000,top
"R3","150R","R_0603_1608Metric",36.000000,-14.000000,0.000000,top
"U1","NE555P","DIP-8_W7.62mm",25.000000,-17.000000,0.000000,top
